Unnamed: 0,ADDR,bun,ji,region_cd,소방청 / 화재·구조·구급 통계시스템,OCRN_YMD,DAM_AMT,DCSD_CNT,OCRN_MM,CSTS_CNT,YMAP_CRTS,ROAD_NM_ADDR,RSN_,XMAP_CRTS,SN,GEOM,INJPSN_CNT,platPlc,strctCdNm,etcRoof,stcnsDay,grndFlrCnt,stcnsDay_final
256,서울특별시 서대문구 남가좌동 124-149,0124,0149,1141012000,2008.0,25.0,0,1,11.0,1,4519179.909,,재개발 공사현장 주택철거중 난간붕괴,14128683.69,16,POINT(14128683.6888 4519179.9093000004),0,,,,,,
257,경상북도 포항시 남구 송도동 253-55,0253,0055,4711110400,2010.0,23.0,0,1,2.0,1,4307257.699,,시멘트 저장창고 청소 작업 중 인부1명이 매몰,14402007.0,17,POINT(14402007.002900001 4307257.699),0,경상북도 포항시 남구 송도동 253-55번지,벽돌구조,스라브, ,2,19870518
258,경상북도 고령군 개진면 양전리 398-3,0398,0003,4783035032,2010.0,29.0,0,1,3.0,1,4262209.526,,중량물 전도 깔림 추정,14281981.23,20,POINT(14281981.231000001 4262209.5263999999),0,경상북도 고령군 개진면 양전리 398-3번지,경량철골구조,샌드위치판넬,19990824,1,19990824
259,인천광역시 강화군 송해면 하도리 361-1,0361,0001,2871039026,2010.0,3.0,0,0,4.0,2,4545528.715,,공사중 붕괴,14078253.59,21,POINT(14078253.594599999 4545528.7150999997),2,,,,,,
260,부산광역시 북구 화명동 898-2,0898,0002,2632010200,2010.0,5.0,0,1,4.0,1,4194679.415,,주민공동이용시설 거푸집 붕괴 사고,14361624.15,22,POINT(14361624.1483 4194679.4151999997),0,,,,,,
261,경상남도 사천시 실안동 1131,1131,,4824011800,2010.0,2.0,0,0,7.0,0,4157545.924,,공사현장 토사붕괴,14252655.74,23,POINT(14252655.740499999 4157545.9238999998),0,경상남도 사천시 실안동 1131번지,일반철골구조,판넬,20011022,2,20011022
262,경상북도 봉화군 봉성면 금봉리 710-2,0710,0002,4792032026,2010.0,5.0,0,1,7.0,1,4425398.111,,컨베이어벨트 밑에 깔려 사망,14335222.0,24,POINT(14335222.002599999 4425398.1113),0,경상북도 봉화군 봉성면 금봉리 710-2번지,경량철골구조,갈바륨,20010822,1,20010822
263,경기도 성남시 분당구 야탑동 757,0757,,4113510700,2010.0,9.0,0,1,7.0,1,4495376.741,,소화전 배관공사 중 흙더미가 무너져 공사인부 1명 사망,14152218.03,25,POINT(14152218.0308 4495376.7413999997),0,경기도 성남시 분당구 야탑동 757번지,철근콘크리트구조,철근콘크리트조, ,0,20000513
264,인천광역시 서구 오류동 1206-3,1206,0003,2826011900,2010.0,17.0,0,0,8.0,2,4521490.476,,지반붕괴,14093802.75,26,POINT(14093802.7522 4521490.4762000004),2,,,,,,
265,인천광역시 부평구 부평동 274-21,0274,0021,2823710100,2010.0,27.0,0,0,8.0,1,4507690.44,,천정 무너짐,14105504.46,27,POINT(14105504.461100001 4507690.4402999999),1,인천광역시 부평구 부평동 274-21번지,철근콘크리트구조,(철근)콘크리트,20011015,8,20011015
266,경기도 성남시 분당구 서현동 261-5,0261,0005,4113510500,2010.0,14.0,0,0,9.0,0,4493054.458,,집중호우로 인한 지반 약화로 흙막이 붕괴(추정),14151122.88,28,POINT(14151122.884199999 4493054.4578),0,경기도 성남시 분당구 서현동 261-5번지,철근콘크리트구조,(철근)콘크리트,20100608,8,20100608
267,경기도 양주시 남면 상수리 665-3,0665,0003,4163032027,2010.0,9.0,0,0,10.0,10,4560547.805,,옥상 거푸집에 콘크리트 타설중 콘크리트 무게를 견디지 못하고 거푸집과 철근이 일부 붕괴,14137388.32,29,POINT(14137388.321699999 4560547.8046000004),10,,,,,,
268,인천광역시 강화군 불은면 삼성리 826-2,0826,0002,2871032027,2010.0,12.0,0,0,11.0,1,4537983.009,,흙더미 붕괴,14075605.77,30,POINT(14075605.765000001 4537983.0086000003),1,인천광역시 강화군 불은면 삼성리 826-2번지,벽돌구조,평슬라브위슁글,19970700,1,19970700
269,경상북도 봉화군 석포면 석포리 555,0555,,4792039021,2010.0,9.0,0,1,12.0,1,4445543.252,,옥외탱크 심시계단 설치 중 붕괴 추정,14366707.35,31,POINT(14366707.348300001 4445543.2523999996),0,경상북도 봉화군 석포면 석포리 555번지,일반철골구조,T-100글라스울판넬,20081107,2,20081107
270,울산광역시 울주군 상북면 덕현리 산23-1,0023,0001,3171038026,2011.0,5.0,0,0,1.0,1,4251007.493,,석축 작업장 토사붕괴,14366504.77,32,POINT(14366504.7664 4251007.4929999998),1,,,,,,
271,강원특별자치도 강릉시 성산면 산북리 1271-3,1271,0003,5115031029,2011.0,13.0,0,4,1.0,9,4537406.884,,배수로 콘크리트 타설 공사 중 지붕(거푸집)이 붕괴,14340257.65,33,POINT(14340257.6482 4537406.8837000001),5,,,,,,
272,강원특별자치도 삼척시 원덕읍 월천리 631-2,0631,0002,5123025327,2011.0,14.0,0,0,2.0,0,4462660.825,,"폭설로 인하여 축사붕괴, 한우 5두 압사",14397233.72,36,POINT(14397233.715299999 4462660.8247999996),0,강원특별자치도 삼척시 원덕읍 월천리 631-2번지,블록구조,스레트,19820720,1,19820720
273,강원특별자치도 삼척시 원당동 117,0117,,5123011800,2011.0,15.0,0,0,2.0,0,4500515.47,,폭설로 인한 지붕붕괴 고립자 발생,14377067.81,37,POINT(14377067.8148 4500515.4698999999),0,강원특별자치도 삼척시 원당동 117번지,철근콘크리트구조,슬라브,19900316,2,19900316
274,강원특별자치도 삼척시 정상동 386-5,0386,0005,5123012500,2011.0,16.0,0,0,2.0,0,4500242.081,,지붕의 눈이 떨어지면서 담벼락 붕괴,14379373.11,38,POINT(14379373.106699999 4500242.0812999997),0,강원특별자치도 삼척시 정상동 386-5번지,철근콘크리트구조,평스라브,20190906,4,20190906
275,강원특별자치도 삼척시 남양동 15-9,0015,0009,5123012000,2011.0,23.0,0,0,2.0,0,4501223.486,,지붕위 눈에 의하여 간판이 밀림,14379011.28,39,POINT(14379011.2772 4501223.4857999999),0,,,,,,
276,강원특별자치도 삼척시 근덕면 매원리 78-6,0078,0006,5123031031,2011.0,23.0,0,0,2.0,0,4483585.904,,보일러 창고 지붕이 붕괴된 상황,14390586.93,40,POINT(14390586.929199999 4483585.9035),0,,,,,,
277,경상북도 상주시 내서면 능암리 322,0322,,4725037021,2011.0,4.0,0,1,3.0,1,4356223.628,,5톤 덤프트럭에서 화목용 나무를 마 당에 적재하던 중 나무가 쏟아져 압사,14259021.79,41,POINT(14259021.7893 4356223.6276000002),0,경상북도 상주시 내서면 능암리 322번지,블록구조,판넬경사지붕,20101204,1,20101204
278,전북특별자치도 익산시 왕궁면 구덕리 산214,0214,,5214041023,2011.0,31.0,0,0,3.0,1,4291846.149,,축사 철거 중 지붕 붕괴,14147517.52,43,POINT(14147517.52 4291846.1487999996),1,전북특별자치도 익산시 왕궁면 구덕리 214-1번지,경량철골구조,조립식판넬, ,1,20071024
279,대구광역시 달서구 갈산동 358-73,0358,0073,2729010600,2011.0,31.0,0,0,3.0,2,4278384.03,,건축물 철거작업중 외벽 붕괴,14304417.14,44,POINT(14304417.138599999 4278384.0300000003),2,대구광역시 달서구 갈산동 358-73번지,철근콘크리트구조,스라브,1990    ,2,1990    
280,강원특별자치도 태백시 황지동 59-163,0059,0163,5119010100,2011.0,10.0,1000,0,5.0,0,4462354.916,,황지중 관사 옹벽보강 작업을 위해 터파기 작업 후 비가 내려 붕괴,14358867.41,47,POINT(14358867.413799999 4462354.9155000001),0,강원특별자치도 태백시 황지동 59-163번지,철근콘크리트구조,슬라브 외1, ,2,20041005
281,대전광역시 중구 선화동 21-8,0021,0008,3014010200,2011.0,20.0,0,0,5.0,0,4346089.91,,골목길 에서 세멘트 담벽 젲거중 담벽 일시 무너짐,14184690.83,48,POINT(14184690.8311 4346089.9096999997),0,,,,,,
282,경상북도 봉화군 재산면 갈산리 238,0238,,4792036024,2011.0,22.0,0,0,6.0,0,4418854.306,,주택 공사중 지붕 붕괴,14364185.92,49,POINT(14364185.920499999 4418854.3060999997),0,경상북도 봉화군 재산면 갈산리 238번지,일반목구조,기와,20131219,1,20131219
283,울산광역시 중구 성안동 산160,0160,,3111010900,2011.0,26.0,15000,0,6.0,0,4242481.825,,"배수 불량으로 인한 절개지 붕괴, 배수로 및 휀스 유실",14395119.07,52,POINT(14395119.0746 4242481.8245999999),0,,,,,,
284,울산광역시 울주군 상북면 천전리 313 일원,,,3171038028,2011.0,26.0,0,0,6.0,0,4242005.849,,폭우 인한 제방붕괴,14371094.07,53,POINT(14371094.0713 4242005.8490000004),0,울산광역시 울주군 상북면 천전리 1번지,철근콘크리트구조,아스팔트싱글,20110823,1,20110823
285,울산광역시 울주군 상북면 천전리 304 일원,,,3171038028,2011.0,26.0,0,0,6.0,0,4242142.404,,폭우 인한 제방붕괴,14370983.03,54,POINT(14370983.0287 4242142.4042999996),0,울산광역시 울주군 상북면 천전리 1번지,철근콘크리트구조,아스팔트싱글,20110823,1,20110823
286,울산광역시 울주군 상북면 천전리 455 일원,,,3171038028,2011.0,26.0,0,0,6.0,0,4241191.416,,폭우 인한 축대유실,14371141.13,55,POINT(14371141.127 4241191.4162999997),0,울산광역시 울주군 상북면 천전리 1번지,철근콘크리트구조,아스팔트싱글,20110823,1,20110823
287,충청북도 충주시 종민동 1018-1,1018,0001,4313012100,2011.0,4.0,0,0,7.0,0,4440219.818,,집중호우로 인한 축대(자연석) 붕괴,14246751.6,57,POINT(14246751.604800001 4440219.8179000001),0,충청북도 충주시 종민동 1018-1번지,강파이프구조, , ,1,19960205
288,대구광역시 서구 내당동 65-5,0065,0005,2717010100,2011.0,9.0,0,0,7.0,2,4281394.371,,천정 붕괴,14311555.69,59,POINT(14311555.6885 4281394.3712999998),2,대구광역시 서구 내당동 65-5번지,철근콘크리트구조,폴리테크판넬/평스라브, ,4,19870725
289,경상북도 영주시 문수면 권선리 304,0304,,4721033024,2011.0,10.0,0,0,7.0,1,4408339.621,,가정집(부엌) 천장붕괴(원인 미상),14316352.86,60,POINT(14316352.8555 4408339.6211999999),1,,,,,,
290,충청북도 보은군 삼승면 우진리 산13,0013,,4372035029,2011.0,11.0,0,0,7.0,0,4358780.225,,"농공단지 뒤편 야산에서 산사태가 발생, 흘리내린 토사가 계곡수를 흘려보내는 배수로를 막아 배수기능 마비, 범람한 물과 토사가 도로를 타고 농공단지내로 유입됨",14217984.64,61,POINT(14217984.635500001 4358780.2248),0,충청북도 보은군 삼승면 우진리 13-3번지,강파이프구조,스레이트, ,1,19930900
291,충청북도 충주시 교현동 148-29,0148,0029,4313010500,2011.0,11.0,0,0,7.0,0,4435640.448,,집중호우로 인한 지붕과 건물 외벽 일부 붕괴,14242462.1,62,POINT(14242462.102499999 4435640.4475999996),0,,,,,,
292,울산광역시 중구 복산동 653-24,0653,0024,3111010300,2011.0,11.0,0,1,7.0,1,4240703.473,,미상,14396396.87,63,POINT(14396396.869200001 4240703.4726),0,,,,,,
293,서울특별시 강동구 천호동 419-1,0419,0001,1174010900,2011.0,20.0,0,6,7.0,2,4514768.956,,후면 3층 노후 건물 보수공사 중 붕괴,14151716.55,64,POINT(14151716.547900001 4514768.9555000002),8,,,,,,
294,강원특별자치도 원주시 문막읍 반계리 2251,2251,,5113025029,2011.0,21.0,0,0,7.0,2,4479685.339,,상수도관 작업중 토사 붕괴,14226415.9,65,POINT(14226415.9048 4479685.3393000001),2,,,,,,
295,부산광역시 남구 용당동 산72,0072,,2629010800,2011.0,26.0,59116,0,7.0,0,4179459.749,,집중호우에 따른 산사태,14370314.13,69,POINT(14370314.125399999 4179459.7486),0,,,,,,
296,부산광역시 남구 용호동 산195-2,0195,0002,2629010700,2011.0,26.0,50971,0,7.0,0,4178134.269,,집중호우에 따른 사면유실,14373782.04,70,POINT(14373782.0381 4178134.2686000001),0,,,,,,
297,서울특별시 송파구 마천동 358-15,0358,0015,1171011400,2011.0,26.0,0,0,7.0,0,4508436.233,,집중호우로 인한 관내 기존 무허가 건물 지붕붕괴,14154956.84,72,POINT(14154956.8387 4508436.2325999998),0,,,,,,
298,강원특별자치도 춘천시 신북읍 천전리 38-28,0038,0028,5111025022,2011.0,27.0,0,13,7.0,37,4570089.165,,집중호우에 따른 지반약화,14225956.3,75,POINT(14225956.300000001 4570089.1650999999),24,강원특별자치도 춘천시 신북읍 천전리 38-28번지,일반철골구조,기타지붕 경사판넬지붕,20010829,1,20010829
299,울산광역시 중구 북정동 50-4,0050,0004,3111010400,2011.0,27.0,0,0,7.0,0,4240020.784,,주택 담벼락 붕괴 우려에 따른 안전조치,14396192.77,76,POINT(14396192.768300001 4240020.7843000004),0,울산광역시 중구 북정동 50-4번지,철근콘크리트구조,스라브,        ,4,19890714
300,"강원특별자치도 춘천시 신북읍 천전리 산70-1, 산70-2, 산71-3, 산71-5",0071,0005,5111025022,2011.0,27.0,471763,24,7.0,13,4570170.598,,집중호우로 인한 산사태 발생,14225952.09,77,POINT(14225952.085200001 4570170.5983999996),37,,,,,,
301,인천광역시 강화군 하점면 부근리 681-4,0681,0004,2871037023,2011.0,27.0,0,0,7.0,1,4547312.347,,밭 축대 붕괴,14073518.59,78,POINT(14073518.5911 4547312.3474000003),1,,,,,,
302,강원특별자치도 원주시 문막읍 건등리 1438,1438,,5113025026,2011.0,28.0,0,0,7.0,1,4483349.909,,아파트 옥상 거푸집 분리작업 중 거푸집 붕괴사고,14229370.75,79,POINT(14229370.7469 4483349.9094000002),1,,,,,,
303,충청북도 제천시 덕산면 수산리 903,0903,,4315034024,2011.0,30.0,0,0,7.0,0,4427007.088,,성백우씨 담배건조장 노후로 인한 붕괴(부상자 없음) 창고식으로 재건축,14259647.19,80,POINT(14259647.191 4427007.0875000004),0,충청북도 제천시 덕산면 수산리 903번지,일반목구조,"초가, 스레트", ,1,19300204
304,울산광역시 중구 남외동 483-16,0483,0016,3111011500,2011.0,6.0,0,0,8.0,0,4241385.647,,굴착기작업중 옥상붕괴,14398652.14,81,POINT(14398652.1382 4241385.6469999999),0,울산광역시 중구 남외동 483-16번지,벽돌구조,조립식판넬, ,1,
305,전북특별자치도 익산시 갈산동 87-4,0087,0004,5214010700,2011.0,8.0,0,1,8.0,1,4291605.646,,공중화장실 붕괴,14132439.04,82,POINT(14132439.0404 4291605.6462000003),0,,,,,,
306,충청북도 진천군 문백면 봉죽리 257,0257,,4375033027,2011.0,9.0,0,0,8.0,0,4409170.426,충청북도 진천군 문백면 봉죽2길 20-42 경향렉스빌 101동 뒷산,강우로 인한 토사붕괴,14185175.45,83,POINT(14185175.450099999 4409170.4260999998),0,충청북도 진천군 문백면 봉죽리 257번지,철근콘크리트구조,평슬라브,19971126,11,19971126
307,충청북도 진천군 광혜원면 금곡리 89,0089,,4375037021,2011.0,9.0,0,0,8.0,0,4435121.147,충청북도 진천군 광혜원면 금천길 116,태풍으로 인한 가옥붕괴,14186975.82,84,POINT(14186975.822799999 4435121.1464999998),0,충청북도 진천군 광혜원면 금곡리 89번지,기타조적구조,기와, ,1,1964    
308,충청북도 진천군 광혜원면 금곡리 89,0089,,4375037021,2011.0,9.0,0,0,8.0,0,4435146.842,,태풍으로 인한 가옥붕괴,14187020.78,527,POINT(14187020.776900001 4435146.8424000004),0,충청북도 진천군 광혜원면 금곡리 89번지,기타조적구조,기와, ,1,1964    
309,전북특별자치도 정읍시 충정로 324-1,0324,0001,5218044025,2011.0,9.0,0,0,8.0,0,4242229.851,,호우에 의한 토사유입으로 주택붕괴(부상 없음),14120750.22,85,POINT(14120750.223300001 4242229.8508000001),0,,,,,,
310,경상북도 영주시 영주동 547,0547,,4721010100,2011.0,12.0,0,0,8.0,1,4414849.996,,하수작업중 토사 붕괴,14317971.4,86,POINT(14317971.403899999 4414849.9957999997),1,경상북도 영주시 영주동 547번지,철근콘크리트구조,슬라브, ,3,19810401
311,경상북도 포항시 남구 호미곶면 대동배리 산95,0095,,4711135024,2011.0,21.0,0,0,8.0,2,4308507.815,,해변가에서 피서 중 낙석에 피해를 입음,14419011.69,87,POINT(14419011.687100001 4308507.8150000004),2,,,,,,
312,충청북도 보은군 보은읍 성족리 산16,0016,,4372025036,2011.0,28.0,0,0,8.0,0,4371817.565,,집중호우로 인한 경사면 붕괴,14222195.97,88,POINT(14222195.9658 4371817.5646000002),0,,,,,,
313,경상북도 봉화군 소천면 분천리 105-1,0105,0001,4792035027,2011.0,7.0,0,0,9.0,0,4431374.291,,터널안 공사중 천정붕괴,14370567.09,90,POINT(14370567.086999999 4431374.2911999999),0,,,,,,
314,경상남도 통영시 정량동 1398,1398,,4822010900,2011.0,10.0,2000,0,9.0,0,4142680.08,,집중호우로 인한 불량토질의 급경사지 붕괴,14297689.79,91,POINT(14297689.7914 4142680.0795999998),0,경상남도 통영시 정량동 1398번지,철근콘크리트구조,슬래브, ,3,19900111
315,경상북도 성주군 선남면 선원리 378-2,0378,0002,4784031036,2011.0,3.0,0,1,11.0,2,4282674.054,,상수도 관로 인입공사의 암거 하월 부분 작업 중 토사에 매몰,14290948.19,92,POINT(14290948.1929 4282674.0537),1,경상북도 성주군 선남면 선원리 378-2번지,일반철골구조,판넬,20020527,2,20020527
316,경상북도 김천시 부항면 하대리 717-1,0717,0001,4715043027,2011.0,7.0,0,0,11.0,4,4300918.126,,아랫두대 교량 정비공사의 콘크리트 타 설작업중 하중을 견디지 못하고 붕괴,14240439.61,93,POINT(14240439.6127 4300918.1259000003),4,경상북도 김천시 부항면 하대리 717-1번지,강파이프구조,슬레이트, ,1,
317,전북특별자치도 익산시 평화동 37,0037,,5214010600,2011.0,9.0,0,0,11.0,0,4291601.237,,관거공사 중 토사 붕괴,14131575.51,94,POINT(14131575.510600001 4291601.2368000001),0,전북특별자치도 익산시 평화동 37번지,철근콘크리트구조,스라브, ,3,
318,경상남도 창원시 마산합포구 구산면 심리 산3,0003,,4812531029,2011.0,11.0,132615,0,11.0,0,4173429.508,,집중호우에 따른 사면붕괴,14319571.65,95,POINT(14319571.653899999 4173429.5077),0,,,,,,
319,경상남도 창원시 마산합포구 완월동 산98-69,0098,0069,4812512800,2011.0,11.0,38874,0,11.0,0,4190759.467,,집중호우에 따른 사면붕괴,14310409.01,96,POINT(14310409.005000001 4190759.4668000001),0,,,,,,
320,경기도 성남시 중원구 상대원동 149-1,0149,0001,4113310500,2011.0,25.0,0,0,11.0,0,4499941.297,,지하터파기공사중 토압가중에 의한 흙막이 시설붕괴,14156435.6,97,POINT(14156435.6031 4499941.2970000003),0,경기도 성남시 중원구 상대원동 149-1번지,철골철근콘크리트구조,(철근)콘크리트,20160816,7,20160816
321,울산광역시 울주군 서생면 위양리 1091-2,1091,0002,3171031030,2014.0,25.0,0,0,8.0,0,4213657.766,,폭우 인한 산사태,14393247.12,354,POINT(14393247.115900001 4213657.7663000003),0,,,,,,
322,울산광역시 울주군 온산읍 원산리 916-12,0916,0012,3171025031,2014.0,25.0,0,0,8.0,0,4221264.95,,집중호우 인한 도로유실,14396854.75,355,POINT(14396854.746099999 4221264.9496999998),0,울산광역시 울주군 온산읍 원산리 916-12번지,일반철골구조,(철근)콘크리트,20071121,1,20071121
323,울산광역시 울주군 서생면 서생리 산26-1,0026,0001,3171031027,2014.0,25.0,0,0,8.0,0,4215296.949,,폭우 인한 산사태,14397281.61,357,POINT(14397281.6095 4215296.9489000002),0,,,,,,
324,울산광역시 울주군 서생면 나사리 251,0251,,3171031023,2014.0,25.0,0,0,8.0,0,4212377.126,,폭우 인한 산사태,14398551.12,358,POINT(14398551.1184 4212377.1260000002),0,,,,,,
325,"울산광역시 울주군 온산읍 덕신리 681, 682",0682,,3171025032,2014.0,25.0,0,0,8.0,0,4225726.025,,집중호우 인한 제방붕괴,14394236.52,359,POINT(14394236.520099999 4225726.0247),0,,,,,,
326,울산광역시 울주군 온산읍 덕신리 1065,1065,,3171025032,2014.0,25.0,0,0,8.0,0,4222741.383,,집중호우 인한 제방붕괴,14393053.35,360,POINT(14393053.3467 4222741.3831000002),0,,,,,,
327,전북특별자치도 군산시 조촌동 산 48-1,0048,0001,5213013400,2014.0,25.0,17000,0,8.0,0,4297238.904,,호우에 의한 붕괴,14109379.22,365,POINT(14109379.2169 4297238.9035),0,,,,,,
328,"울산광역시 울주군 서생면 용리 5-1, 5-5",0005,0005,3171031026,2014.0,25.0,0,0,8.0,0,4214081.413,,폭우 인한 산사태,14396538.39,370,POINT(14396538.3879 4214081.4127000002),0,,,,,,
329,울산광역시 울주군 서생면 대송리 산20,0020,,3171031025,2014.0,25.0,0,0,8.0,0,4213687.415,,폭우 인한 산사태,14399660.13,371,POINT(14399660.1303 4213687.4154000003),0,울산광역시 울주군 서생면 대송리 20번지,철근콘크리트구조, ,        ,2,19920325
330,울산광역시 울주군 온산읍 삼평리 143,0143,,3171025022,2014.0,25.0,0,0,8.0,0,4219993.745,,집중호우 인한 농수로매몰,14396813.65,372,POINT(14396813.645099999 4219993.7448000005),0,,,,,,
331,울산광역시 울주군 서생면 화산리 산179-4,0179,0004,3171031024,2014.0,25.0,0,0,8.0,0,4210885.61,,폭우 인한 산사태,14392822.16,374,POINT(14392822.1613 4210885.6102),0,,,,,,
332,"울산광역시 울주군 온산읍 덕신리 1134, 1135",1135,,3171025032,2014.0,25.0,0,0,8.0,0,4223771.515,,집중호우 인한 농로매몰,14391905.49,375,POINT(14391905.491 4223771.5144999996),0,,,,,,
333,울산광역시 울주군 서생면 화산리 산237,0237,,3171031024,2014.0,25.0,0,0,8.0,0,4214127.178,,폭우 인한 산사태,14392210.66,376,POINT(14392210.664100001 4214127.1781000001),0,,,,,,
334,울산광역시 울주군 서생면 화산리 산45,0045,,3171031024,2014.0,25.0,0,0,8.0,0,4215599.399,,폭우 인한 산사태,14391577.78,377,POINT(14391577.782199999 4215599.3991),0,,,,,,
335,"울산광역시 울주군 온산읍 강양리 201, 198",0198,,3171025023,2014.0,25.0,0,0,8.0,0,4217977.336,,집중호우 인한 제방매몰,14398519.14,379,POINT(14398519.1425 4217977.3364000004),0,,,,,,
336,울산광역시 울주군 온산읍 강양리 893-3,0893,0003,3171025023,2014.0,25.0,0,0,8.0,0,4218397.409,,집중호우 인한 제방붕괴,14397474.99,383,POINT(14397474.9944 4218397.409),0,,,,,,
337,울산광역시 울주군 서생면 서생리 산47,0047,,3171031027,2014.0,25.0,0,0,8.0,0,4215608.247,,폭우 인한 산사태,14397165.46,384,POINT(14397165.462099999 4215608.2467),0,울산광역시 울주군 서생면 서생리 47-1번지,벽돌구조,스라브,199410  ,2,199410  
338,울산광역시 울주군 서생면 화산리 산49-1,0049,0001,3171031024,2014.0,25.0,0,0,8.0,0,4215452.431,,폭우 인한 산사태,14392249.01,385,POINT(14392249.0132 4215452.4312000005),0,울산광역시 울주군 서생면 화산리 산49-1번지,목구조,와가, ,1,
339,부산광역시 북구 덕천동 637,0637,,2632010400,2014.0,25.0,11450,0,8.0,0,4193465.686,부산광역시 북구 금곡대로92번길 2,사면붕괴,14360862.53,389,POINT(14360862.525699999 4193465.6855000001),0,,,,,,
340,울산광역시 울주군 서생면 대송리 산16,0016,,3171031025,2014.0,25.0,0,0,8.0,0,4213380.359,,폭우 인한 산사태,14399476.52,391,POINT(14399476.524499999 4213380.3585999999),0,,,,,,
341,울산광역시 울주군 서생면 화정리 산62,0062,,3171031029,2014.0,25.0,0,0,8.0,0,4216913.177,,폭우 인한 산사태,14397236.77,393,POINT(14397236.7656 4216913.1772999996),0,울산광역시 울주군 서생면 화정리 62번지,철근콘크리트구조,(철근)콘크리트,20140304,2,20140304
342,강원특별자치도 속초시 영랑동 1-6,0001,0006,5121010100,2014.0,3.0,2000,0,9.0,0,4609705.21,,집중호우로 인한 낙석발생으로 상가건물 지붕 및 벽체 일부 파손,14315719.69,394,POINT(14315719.689200001 4609705.2095999997),0,,,,,,
343,경상북도 울진군 기성면 기성리 104,0104,,4793035022,2014.0,29.0,0,1,9.0,0,4411627.253,,오폐수관로공사 중 옹벽이 무너져 공사인부가 담벼락에 깔린 사고,14411015.88,395,POINT(14411015.8835 4411627.2533),1,경상북도 울진군 기성면 기성리 104번지,일반목구조,함석, ,1,1901    
344,충청북도 충주시 용산동 1940-3,1940,0003,4313010600,2014.0,13.0,0,1,10.0,0,4433473.561,충청북도 충주시 금봉1길 18,공사중 구조물 붕괴,14242436.73,396,POINT(14242436.7326 4433473.5604999997),1,충청북도 충주시 용산동 1940-3번지,철근콘크리트구조,평스라브,20020412,2,20020412
345,경기도 성남시 분당구 삼평동 682 유스페이스몰 야외공연장,,,4113510900,2014.0,17.0,0,16,10.0,27,4495299.083,,관람객 하중에 의한 환풍구 덮개 붕괴,14149449.97,397,POINT(14149449.9715 4495299.0824999996),11,경기도 성남시 분당구 삼평동 30번지,일반목구조, , ,1,1953    
346,충청북도 충주시 살미면 재오개리 53-2,0053,0002,4313031023,2014.0,29.0,0,0,10.0,1,4429009.516,,조경작업 중 구조물 붕괴,14249313.16,398,POINT(14249313.1602 4429009.5158000002),1,충청북도 충주시 살미면 재오개리 53-2번지,철골철근콘크리트구조,(철근)콘크리트,20081007,4,20081007
347,서울특별시 마포구 도화동 25-13,0025,0013,1144010400,2014.0,19.0,0,0,11.0,1,4515030.656,,통신선 지중화 작업 중 흙더미 붕괴,14132196.73,400,POINT(14132196.7267 4515030.6560000004),1,서울특별시 마포구 도화동 25-13번지,일반철골구조,(철근)콘크리트,20140807,24,20140807
348,제주특별자치도 서귀포시 안덕면 사계리 3693번지일원,3693,,5013031025,2015.0,25.0,1000,0,6.0,0,3926876.349,,호우시 낙석발생,14061143.25,424,POINT(14061143.2498 3926876.3491000002),0,제주특별자치도 서귀포시 안덕면 사계리 3693번지,벽돌구조,슬래브, ,1,1971    
349,제주특별자치도 서귀포시 안덕면 사계리 3693번지일원,3693,,5013031025,2015.0,28.0,1000,0,6.0,0,3926876.349,,호우시 낙석발생,14061143.25,425,POINT(14061143.2498 3926876.3491000002),0,제주특별자치도 서귀포시 안덕면 사계리 3693번지,벽돌구조,슬래브, ,1,1971    
350,제주특별자치도 서귀포시 안덕면 사계리 3693번지일원,3693,,5013031025,2014.0,25.0,1000,0,11.0,0,3926876.349,,호우시 낙석발생,14061143.25,401,POINT(14061143.2498 3926876.3491000002),0,제주특별자치도 서귀포시 안덕면 사계리 3693번지,벽돌구조,슬래브, ,1,1971    
351,제주특별자치도 서귀포시 안덕면 사계리 3693번지일원,3693,,5013031025,2014.0,27.0,1000,0,11.0,0,3926876.349,,호우시 낙석발생,14061143.25,402,POINT(14061143.2498 3926876.3491000002),0,제주특별자치도 서귀포시 안덕면 사계리 3693번지,벽돌구조,슬래브, ,1,1971    
352,제주특별자치도 서귀포시 안덕면 사계리 3693번지일원,3693,,5013031025,2014.0,25.0,1000,0,5.0,0,3926876.349,,호우시 낙석발생,14061143.25,280,POINT(14061143.2498 3926876.3491000002),0,제주특별자치도 서귀포시 안덕면 사계리 3693번지,벽돌구조,슬래브, ,1,1971    
353,제주특별자치도 서귀포시 안덕면 사계리 3693번지일원,3693,,5013031025,2014.0,9.0,1000,0,7.0,0,3926876.349,,호우시 낙석발생,14061143.25,282,POINT(14061143.2498 3926876.3491000002),0,제주특별자치도 서귀포시 안덕면 사계리 3693번지,벽돌구조,슬래브, ,1,1971    
354,제주특별자치도 서귀포시 안덕면 사계리 3693번지일원,3693,,5013031025,2014.0,16.0,1000,0,7.0,0,3926876.349,,호우시 낙석발생,14061143.25,283,POINT(14061143.2498 3926876.3491000002),0,제주특별자치도 서귀포시 안덕면 사계리 3693번지,벽돌구조,슬래브, ,1,1971    
