Unnamed: 0,ADDR,bun,ji,region_cd,소방청 / 화재·구조·구급 통계시스템,OCRN_YMD,DAM_AMT,DCSD_CNT,OCRN_MM,CSTS_CNT,YMAP_CRTS,ROAD_NM_ADDR,RSN_,XMAP_CRTS,SN,GEOM,INJPSN_CNT,platPlc,strctCdNm,etcRoof,stcnsDay,grndFlrCnt,stcnsDay_final
185,충청북도 청주시 상당구 미원면 운암리 215,0215,,4311132038,2017.0,14.0,0,0,7.0,0,4385284.479,충청북도 청주시 상당구 미원면 운암3길 12-11,집중호우,14213549.26,489,POINT(14213549.263499999 4385284.4785000002),0,충청북도 청주시 상당구 미원면 운암리 215번지,일반목구조,슬레이트, ,1,1902    
186,충청북도 청주시 상당구 미원면 운암리 99,0099,,4311132038,2017.0,14.0,0,0,7.0,0,4383937.766,충청북도 청주시 상당구 미원면 운암계원로 84-37,집중호우,14214772.77,490,POINT(14214772.770099999 4383937.7659),0,충청북도 청주시 상당구 미원면 운암리 99번지,벽돌구조,(철근)콘크리트,20071031,1,20071031
187,충청북도 청주시 상당구 월오동 산11-1,0011,0001,4311113000,2017.0,14.0,0,0,7.0,0,4387258.363,충청북도 청주시 상당구 다리실로249번길 181-14 (월오동),집중호우,14198223.75,491,POINT(14198223.753900001 4387258.3629000001),0,충청북도 청주시 상당구 월오동 산11-1번지,벽돌구조,세멘기와, ,1,1959    
188,충청북도 청주시 상당구 낭성면 관정리 51-1,0051,0001,4311131021,2017.0,14.0,0,0,7.0,0,4385653.236,충청북도 청주시 상당구 낭성면 관정2길 48,집중호우,14208701.23,492,POINT(14208701.2334 4385653.2359999996),0,충청북도 청주시 상당구 낭성면 관정리 51-1번지,벽돌구조,스레트, ,1,1974    
189,충청북도 청주시 상당구 월오동 505-1,0505,0001,4311113000,2017.0,14.0,0,0,7.0,0,4385275.269,충청북도 청주시 상당구 다리실로69번길 61-13 (월오동),집중호우,14196673.76,493,POINT(14196673.7552 4385275.2685000002),0,충청북도 청주시 상당구 월오동 505-1번지,철근콘크리트구조,징크,20180208,2,20180208
190,충청북도 청주시 흥덕구 송절동 48,0048,,4311313400,2017.0,14.0,0,0,7.0,0,4392587.162,충청북도 청주시 흥덕구 신정로 5 (송절동),집중호우,14189182.89,494,POINT(14189182.8861 4392587.1622000001),0,,,,,,
191,충청북도 청주시 상당구 월오동 559-30,0559,0030,4311113000,2017.0,14.0,0,0,7.0,0,4385383.432,충청북도 청주시 상당구 다리실로115번길 13 (월오동),집중호우,14197012.14,495,POINT(14197012.1359 4385383.4315999998),0,충청북도 청주시 상당구 월오동 559-30번지,벽돌구조,샌드위치판넬,20170922,1,20170922
192,충청북도 청주시 상당구 운동동 67,0067,,4311112900,2017.0,14.0,0,0,7.0,0,4384383.197,충청북도 청주시 상당구 목련로214번길 29(운동동),집중호우,14196324.43,496,POINT(14196324.427100001 4384383.1967000002),0,충청북도 청주시 상당구 운동동 67번지,철근콘크리트구조,평지붕,20170925,1,20170925
193,충청북도 청주시 상당구 미원면 어암리 3,0003,,4311132042,2017.0,14.0,0,0,7.0,0,4385672.197,,집중호우,14221154.3,497,POINT(14221154.2991 4385672.1973000001),0,,,,,,
194,울산광역시 울주군 상북면 이천리 559,0559,,3171038025,2012.0,17.0,0,0,9.0,0,4237340.987,,폭우 인한 하천제방유실,14361666.44,197,POINT(14361666.437100001 4237340.9867000002),0,,,,,,
195,울산광역시 울주군 상북면 길천리 508-8,0508,0008,3171038024,2012.0,17.0,0,0,9.0,0,4243092.025,,폭우 인한 하천제방유실,14370014.46,198,POINT(14370014.458799999 4243092.0248999996),0,,,,,,
196,울산광역시 울주군 상북면 등억알프스리 687,0687,,3171038034,2012.0,17.0,0,0,9.0,0,4240952.466,,폭우 인한 하천제방유실,14366712.75,199,POINT(14366712.7531 4240952.4661999997),0,울산광역시 울주군 상북면 등억알프스리 687번지,철근콘크리트구조,"스라브, 샌드위치판넬",1995    ,2,1995    
197,울산광역시 울주군 상북면 이천리 737,0737,,3171038025,2012.0,17.0,0,0,9.0,0,4235455.328,,폭우 인한 잠수교입구파손,14361266.84,200,POINT(14361266.8432 4235455.3278000001),0,울산광역시 울주군 상북면 이천리 737번지,철근콘크리트구조,(철근)콘크리트,20191231,1,20191231
198,경상북도 경주시 안강읍 산대리 1245-1,1245,0001,4713025332,2013.0,12.0,216643,0,4.0,0,4301570.49,,"시설노후로 복통(제방 밑 물 공급하는 관수로)누수로 
토사 유출 붕괴사고",14381283.72,223,POINT(14381283.7162 4301570.4895000001),0,,,,,,
199,울산광역시 울주군 두동면 만화리 58-10,0058,0010,3171036021,2013.0,7.0,0,0,5.0,0,4253106.451,,폭우 인한 석축 붕괴,14385687.65,224,POINT(14385687.648700001 4253106.4506000001),0,,,,,,
200,전북특별자치도 정읍시 상동 209-3,0209,0003,5218010300,2013.0,21.0,0,0,5.0,1,4240243.94,,건축물 신축공사장 천정붕괴에 의한 부상,14123107.79,225,POINT(14123107.785700001 4240243.9400000004),1,,,,,,
201,광주광역시 광산구 월계동 893-1,0893,0001,2920011500,2013.0,6.0,0,0,6.0,6,4193066.885,,"콘크리트 타설작업중 2층 구조물이 붕괴되면서
작업인부 6명이 구조물과 함께 매몰됨",14120635.09,226,POINT(14120635.087099999 4193066.8851000001),6,광주광역시 광산구 월계동 893-1번지,철근콘크리트구조,(철근)콘크리트,20120514,15,20120514
202,서울특별시 송파구 오금동 74-10,0074,0010,1171011200,2013.0,7.0,0,0,7.0,0,4509688.318,,집중폭우로 인한 지반침하,14152702.81,230,POINT(14152702.805400001 4509688.3183000004),0,서울특별시 송파구 오금동 74-10번지,철근콘크리트구조,경사슬라브,20020308,5,20020308
203,경상북도 영주시 풍기읍 동부리 454-4,0454,0004,4721025022,2013.0,11.0,0,0,7.0,0,4420934.134,,오래된 집 우측부분 붕괴-노부부2인거주였으나 당시 대피함,14308251.67,231,POINT(14308251.672700001 4420934.1342000002),0,,,,,,
204,서울특별시 송파구 마천동 12-11,0012,0011,1171011400,2013.0,13.0,0,0,7.0,0,4509348.01,,집중호우로 인한 담장 붕괴,14153687.82,232,POINT(14153687.818 4509348.0097000003),0,서울특별시 송파구 마천동 12-11번지,벽돌구조,경사스라브위아스팔트,        ,2,19880729
205,서울특별시 송파구 거여동 204-63,0204,0063,1171011300,2013.0,18.0,0,0,7.0,0,4508304.463,,건물 노후화,14154207.88,233,POINT(14154207.8751 4508304.4627999999),0,,,,,,
206,울산광역시 중구 옥교동 277-1,0277,0001,3111010500,2013.0,19.0,0,0,7.0,0,4239348.657,,건물철거 작업장,14396127.39,234,POINT(14396127.3949 4239348.6564999996),0,,,,,,
207,강원특별자치도 평창군 봉평면 덕거리 282,0282,,5176034029,2013.0,22.0,0,0,7.0,0,4527581.148,,집중호우로 인한 산사태 발생,14293706.61,235,POINT(14293706.6121 4527581.1481999997),0,,,,,,
208,강원특별자치도 평창군 진부면 두일리 산79,0079,,5176036024,2013.0,23.0,0,0,7.0,0,4534890.847,,집중호우로 인한 산사태 발생,14309485.37,236,POINT(14309485.372300001 4534890.8468000004),0,,,,,,
209,강원특별자치도 평창군 진부면 거문리 산181,0181,,5176036030,2013.0,23.0,0,0,7.0,0,4523167.108,,집중호우로 인한 산사태 발생,14306131.96,237,POINT(14306131.9594 4523167.1079000002),0,,,,,,
210,경상북도 영양군 영양읍 감천리 604-1,0604,0001,4776025023,2013.0,21.0,0,0,8.0,0,4386194.519,,도로 낙석발생,14369825.89,239,POINT(14369825.8859 4386194.5186000001),0,경상북도 영양군 영양읍 감천리 604-1번지,철근콘크리트구조,(철근)콘크리트,20150430,2,20150430
211,강원특별자치도 원주시 무실동 641-1,0641,0001,5113011500,2013.0,30.0,0,0,8.0,1,4485187.707,,아파트 공사장 철근이 떨어지면서 인부 1명 깔림,14240252.84,240,POINT(14240252.839600001 4485187.7066000002),1,,,,,,
212,경상북도 안동시 안기동 207-2 일대,,,4717012800,2013.0,1.0,0,0,9.0,0,4379971.687,,안기동 208번지의 정지작업 중 인접건물의 축대가 붕괴되어 주택   균열 및 손상,14328994.65,241,POINT(14328994.6483 4379971.6869000001),0,경상북도 안동시 안기동 27번지,일반목구조,시멘트기와, ,1,19600915
213,경상남도 거창군 웅양면 산포리 산9,0009,,4888032026,2013.0,2.0,0,1,9.0,1,4280605.265,,지반이 무너지며 차량과 사람이 약5m 아래로 추락하여 매몰됨.,14242643.76,242,POINT(14242643.756200001 4280605.2647000002),0,,,,,,
214,대구광역시 달성군 다사읍 죽곡리 204,0204,,2771025627,2013.0,4.0,0,0,10.0,1,4281139.311,,건물외벽 3층 비계(아시바) 붕괴로 현장인부 1명 추락,14300573.99,243,POINT(14300573.9878 4281139.3112000003),1,대구광역시 달성군 다사읍 죽곡리 204번지,철근콘크리트구조,"판넬, 스라브", ,5,19940715
215,전북특별자치도 전주시 덕진구 덕진동1가1263-4,11263,0004,5211312500,2013.0,5.0,0,0,10.0,1,4279012.979,,공사장 흙이 붕괴되어 매몰,14151674.13,244,POINT(14151674.1251 4279012.9789000005),1,,,,,,
216,울산광역시 북구 진장동 650 세차장,,,3120012100,2013.0,8.0,0,0,10.0,0,4241018.584,,강풍에 의한 축대붕괴,14400320.34,245,POINT(14400320.337300001 4241018.5844000001),0,울산광역시 북구 진장동 72-8번지,철근콘크리트구조,(철근)콘크리트,20180605,2,20180605
217,울산광역시 중구 태화동 산34-2 LH공사장,,,3111011100,2013.0,16.0,0,0,11.0,1,4240108.689,,공사현장에서 굴착공사 중 토사붕괴,14393383.83,246,POINT(14393383.829600001 4240108.6893999996),1,울산광역시 중구 태화동 6번지,벽돌구조,스라브, ,1,
218,전북특별자치도 정읍시 감곡면 승방리 183-2,0183,0002,5218040021,2013.0,1.0,0,0,12.0,1,4262088.074,,교통사고에 의한 버스승강장 붕괴,14125669.03,247,POINT(14125669.028899999 4262088.0740999999),1,,,,,,
219,전북특별자치도 정읍시 산내면 매죽리 산213-9,0213,0009,5218043023,2013.0,13.0,0,0,12.0,0,4239914.942,,붕괴위험지역 지정고시,14139458.31,248,POINT(14139458.3102 4239914.9418000001),0,,,,,,
220,전북특별자치도 정읍시 산내면 매죽리 산212-8,0212,0008,5218043023,2013.0,13.0,0,0,12.0,0,4238962.935,,붕괴위험지역 지정고시,14139106.04,249,POINT(14139106.040200001 4238962.9353),0,,,,,,
221,전북특별자치도 정읍시 정우면 산북리 산28-1,0028,0001,5218038022,2013.0,13.0,0,0,12.0,0,4246168.672,,붕괴위험지역 지정고시,14137725.21,250,POINT(14137725.2095 4246168.6721999999),0,,,,,,
222,전북특별자치도 정읍시 금붕동 산133,0133,,5218011200,2013.0,13.0,0,0,12.0,0,4237890.071,,붕괴위험지역 지정고시,14126060.53,251,POINT(14126060.5296 4237890.0707),0,,,,,,
223,전북특별자치도 정읍시 시기동 83-16,0083,0016,5218010400,2013.0,13.0,0,0,12.0,0,4238551.774,,붕괴위험지역 지정고시,14122260.96,252,POINT(14122260.955399999 4238551.7737999996),0,전북특별자치도 정읍시 시기동 83-16번지,철근콘크리트구조,(철근)콘크리크(평스라브),20000302,5,20000302
224,전북특별자치도 정읍시 칠보면 와우리 산38,0038,,5218042023,2013.0,13.0,0,0,12.0,0,4238545.827,,붕괴위험지역 지정고시,14122241.32,253,POINT(14122241.321 4238545.8272000002),0,,,,,,
225,전북특별자치도 정읍시 장명동 산1,0001,,5218010200,2013.0,13.0,0,0,12.0,0,4241479.561,,붕괴위험지역 지정고시,14121861.47,254,POINT(14121861.472200001 4241479.5612000003),0,전북특별자치도 정읍시 장명동 1-4번지,철근콘크리트구조,판넬,20091001,1,20091001
226,울산광역시 울주군 온산읍 산암리 360,0360,,3171025027,2014.0,9.0,0,0,1.0,1,4224109.624,,슬러지(부유물) 탱크 내 슬러지 붕괴,14398534.58,255,POINT(14398534.5834 4224109.6244000001),1,울산광역시 울주군 온산읍 산암리 360번지,철근콘크리트구조,(철근)콘크리트,20160501,1,20160501
227,울산광역시 북구 효문동 196-3 동진오토텍,,,3120012300,2014.0,10.0,0,0,2.0,0,4241777.632,,폭설로 공장지붕 붕괴,14401446.81,256,POINT(14401446.8082 4241777.6321999999),0,울산광역시 북구 효문동 1번지,조적구조,콘크리트스라브,19921026,3,19921026
228,울산광역시 북구 효문동 81-1 세진글라스,,,3120012300,2014.0,10.0,0,1,2.0,3,4240910.761,,폭설로 공장지붕 붕괴,14402362.36,257,POINT(14402362.3618 4240910.7607000005),2,울산광역시 북구 효문동 1번지,조적구조,콘크리트스라브,19921026,3,19921026
229,울산광역시 북구 연암동 1367 금영ETS,,,3120012200,2014.0,10.0,0,1,2.0,1,4243073.494,,폭설로 공장지붕 붕괴,14401915.97,258,POINT(14401915.967900001 4243073.4939999999),0,울산광역시 북구 연암동 9-2번지,철근콘크리트구조,(철근)콘크리트,20070716,1,20070716
230,울산광역시 북구 화봉동 642-1 드림마트,,,3120012500,2014.0,11.0,0,0,2.0,0,4244566.395,,폭설로  인한 샌드위치 판넬 붕괴,14400261.63,259,POINT(14400261.625299999 4244566.3948999997),0,울산광역시 북구 화봉동 20-1번지,철근콘크리트구조,스라브,19970703,1,19970703
231,울산광역시 북구 연암동 945 덕양산업,,,3120012200,2014.0,11.0,0,0,2.0,0,4242935.453,,폭설로 공장지붕 붕괴,14400790.43,260,POINT(14400790.432399999 4242935.4528999999),0,울산광역시 북구 연암동 9-2번지,철근콘크리트구조,(철근)콘크리트,20070716,1,20070716
232,울산광역시 중구 남외동 549-31 공사장,,,3111011500,2014.0,11.0,0,0,2.0,0,4241812.597,,폭설로 인한 공사장 붕괴,14399093.43,262,POINT(14399093.430500001 4241812.5968000004),0,울산광역시 중구 남외동 6-2번지,철근콘크리트구조,스라브,        ,10,19890907
233,울산광역시 북구 효문동 산68-1,0068,0001,3120012300,2014.0,11.0,0,0,2.0,0,4241942.645,,폭설로 공장지붕 붕괴,14402025.47,264,POINT(14402025.466800001 4241942.6452000001),0,,,,,,
234,울산광역시 중구 동동 471-28,0471,0028,3111011300,2014.0,12.0,0,0,2.0,0,4241989.947,,폭설로 인해 가옥의 섀시로 된 보일러실 지붕 붕괴,14399041.17,265,POINT(14399041.169600001 4241989.9469999997),0,울산광역시 중구 동동 471-28번지,블록구조,스라브, ,1,
235,울산광역시 남구 야음동 168-1,0168,0001,3114010800,2014.0,12.0,15000,0,2.0,0,4235324.255,,폭설로 인한 지붕붕괴,14398375.38,266,POINT(14398375.3824 4235324.2549000001),0,울산광역시 남구 야음동 168-1번지,경량철골구조,샌드위치판넬,20020510,1,20020510
236,강원특별자치도 삼척시 남양동 341 모델하우스,,,5123012000,2014.0,13.0,0,0,2.0,0,4500651.398,,폭설로 인해 모델하우스 지붕 일부가 무너짐,14379040.92,267,POINT(14379040.9219 4500651.398),0,강원특별자치도 삼척시 남양동 5-1번지,철근콘크리트구조,슬라브, ,2,19960821
237,경상북도 경주시 양남면 신대리 1265-3,1265,0003,4713032027,2014.0,17.0,0,12,2.0,10,4256880.831,,"2.17 강설 종료 후 지붕 제설 작업 미이행, 건축물 구조 및 시공에 대한 문제",14401220.01,268,POINT(14401220.0121 4256880.8306),22,경상북도 경주시 양남면 신대리 1265-3번지,일반철골구조,그라스울판넬,20090625,1,20090625
238,경상북도 경주시 양남면 신대리 산140-1,0140,0001,4713032027,2014.0,17.0,10887000,18,2.0,10,4257774.869,경상북도 경주시 양남면 동남로 982,유례없는 폭설과 습설 및 P.E.B공법 설계기준 부재,14401752.85,269,POINT(14401752.8464 4257774.8688000003),28,경상북도 경주시 양남면 신대리 산140-1번지,경량철골구조,징크강판,20220314,1,20220314
239,대전광역시 중구 대흥동 326-166,0326,0166,3014010500,2014.0,1.0,0,0,3.0,0,4344538.013,,신축공사장 통로 지반붕괴,14184452.01,272,POINT(14184452.011299999 4344538.0129000004),0,대전광역시 중구 대흥동 326-166번지,철근콘크리트구조,(철근)콘크리트,20140124,3,20140124
240,울산광역시 중구 교동 173-5,0173,0005,3111010700,2014.0,29.0,0,0,3.0,1,4240382.972,,주택 담벼락 붕괴,14395309.59,274,POINT(14395309.5902 4240382.9716999996),1,울산광역시 중구 교동 173-5번지,블록구조,스레트, ,1,19821228
241,서울특별시 성북구 삼선동1가 306-3,0306,0003,1129012700,2004.0,17.0,0,0,9.0,1,4520381.254,,건물 노화로 인한 붕괴,14138634.93,1,POINT(14138634.931299999 4520381.2538000001),1,,,,,,
242,충청북도 음성군 대소면 오류리 602-1,0602,0001,4377034031,2005.0,24.0,0,5,9.0,6,4436421.001,,"슬라브거푸집 제거작업중
콘크리트 슬라브 지붕판 붕괴",14190158.82,2,POINT(14190158.8244 4436421.0006999997),1,,,,,,
243,경기도 가평군 설악면 엄소리 33-24,0033,0024,4182031029,2006.0,16.0,75000,1,7.0,3,4528081.898,,집중호우로 인한 산사태,14194654.38,3,POINT(14194654.376399999 4528081.8975999998),2,경기도 가평군 설악면 엄소리 33-24번지,일반목구조,목구조, ,1,20050824
244,경기도 화성시 남양읍 북양리 77-16,0077,0016,4159026228,2006.0,22.0,50000,1,7.0,3,4469756.743,,산지전용부지 불법훼손에 따른 붕괴,14119926.49,4,POINT(14119926.4856 4469756.7429999998),2,경기도 화성시 남양읍 북양리 77-16번지,일반철골구조,기타지붕,20051117,1,20051117
245,부산광역시 부산진구 전포동 564-3,0564,0003,2623010200,2006.0,26.0,3000,0,7.0,13,4186376.375,,노후로 인한 건물(일제시대 지어진 목조건물) 붕괴,14367502.39,5,POINT(14367502.3859 4186376.3753999998),13,부산광역시 부산진구 전포동 564-3번지,일반목구조,기와, ,1,
