OCRN_YR,OCRN_YMD,DAM_AMT,DCSD_CNT,OCRN_MM,ADDR,CSTS_CNT,YMAP_CRTS,ROAD_NM_ADDR,RSN_,XMAP_CRTS,SN,GEOM,INJPSN_CNT
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 729-1,0,4235922.457,,폭우 인한 교량파손,14361327.86,180,POINT(14361327.8641 4235922.4568999996),0
2012,17,0,0,09,울산광역시 울주군 상북면 산전리 342-3,0,4244451.038,,폭우 인한 하천제방붕괴,14370973.54,181,POINT(14370973.5414 4244451.0379999997),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 128,0,4241468.712,,폭우 인한 하천잠수교유실,14362447.73,182,POINT(14362447.7315 4241468.7121000001),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 63,0,4240094.581,,폭우 인한 하천제방유실,14362469.33,183,POINT(14362469.3298 4240094.5805000002),0
2012,17,0,0,09,울산광역시 울주군 상북면 산전리 50-14,0,4246168.558,,폭우 인한 저수지제방붕괴,14370889.61,184,POINT(14370889.6139 4246168.5580000002),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 233,0,4241190.56,,폭우 인한 하천제방유실,14362087.06,185,POINT(14362087.0626 4241190.5602000002),0
2012,17,0,0,09,울산광역시 울주군 상북면 등억알프스리 549-5,0,4240024.093,,폭우 인한 하천제방유실,14368117.18,186,POINT(14368117.182800001 4240024.0926999999),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 144-25,0,4241995.591,,폭우 인한 도로법면유실,14362956.2,187,POINT(14362956.199899999 4241995.5914000003),0
2012,17,0,0,09,울산광역시 울주군 상북면 산전리 775,0,4245573.331,,폭우 인한 농로세굴,14370062.46,188,POINT(14370062.4596 4245573.3312999997),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 310,0,4238367.362,,폭우 인한 하천제방유실,14361465.4,189,POINT(14361465.402799999 4238367.3618000001),0
2012,17,0,0,09,울산광역시 울주군 상북면 명촌리 5,0,4242210.588,,폭우 인한 농로제방붕괴,14370585.68,190,POINT(14370585.683499999 4242210.5883999998),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 36,0,4240424.951,,폭우 인한 축대붕괴,14363047.66,191,POINT(14363047.6588 4240424.9513999997),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 139,0,4241733.094,,폭우 인한 하천제방유실,14362566.12,192,POINT(14362566.120300001 4241733.0943999998),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 114-3,0,4241131.688,,폭우 인한 하천제방유실,14362167.38,193,POINT(14362167.3816 4241131.6876999997),0
2012,17,0,0,09,울산광역시 울주군 상북면 명촌리 499-1,0,4241565.92,,폭우 인한 농로세굴,14370073.58,194,POINT(14370073.578 4241565.9203000003),0
2012,17,0,0,09,울산광역시 울주군 상북면 등억알프스리 477,0,4239751.433,,폭우 인한 하천제방유실,14368766,195,POINT(14368765.9968 4239751.4332999997),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 539-2,0,4237530.091,,폭우 인한 하천잠수교유실,14361630.52,196,POINT(14361630.5189 4237530.0909000002),0
2014,04      ,0,0,08,울산광역시 울주군 상북면 이천리 804,0,4242088.86,,폭우 인한 하천제방유실,14362708.97,287,POINT(14362708.974400001 4242088.8598999996),0
2014,04      ,0,0,08,울산광역시 울주군 상북면 이천리 829,0,4237299.505,,폭우 인한 하천제방유실,14361573.3,288,POINT(14361573.302100001 4237299.5044999998),0
2014,05      ,0,0,08,서울특별시 송파구 석촌동 15-1 (백제고분로 295),0,4509444.097,,도로침하 발생,14148639.55,289,POINT(14148639.5495 4509444.0970000001),0
2014,18,30000,0,08,부산광역시 북구 구포1동 1203-2(동광빌라),0,4191696.095,부산광역시 북구 시랑로21번길 110,사면유실 및 축대파손,14361333.74,290,POINT(14361333.7411 4191696.0948999999),0
2014,18,20000,0,08,부산광역시 북구 만덕1동 63-2,0,4192767.516,부산광역시 북구 중리로 78,사면유실 및 하수시설 파손,14365292.37,291,POINT(14365292.373500001 4192767.5162999998),0
2014,18,0,0,08,울산광역시 울주군 웅촌면 곡천리 630-1,0,4226861.979,,폭우 인한 산사태,14382952.86,292,POINT(14382952.8564 4226861.9793999996),0
2014,18,250000,0,08,부산광역시 북구 화명1동 878-12,0,4194776.03,,도로옹벽 뒤 사면 유실,14361970.15,293,POINT(14361970.1547 4194776.0297999997),0
2014,18,740380,0,08,부산광역시 부산진구 당감1동 490-5(당감동 무궁화아파트 옆 옹벽),0,4186012.784,,집중호우로 인한 옹벽 붕괴(사면),14363972.9,294,POINT(14363972.9036 4186012.7837),0
2014,18,0,0,08,울산광역시 중구 동동 116-14,0,4242540.192,,집중호우로 인해 약해진 지반이 붕괴되어 가옥으로 토사 유입,14398990.4,295,POINT(14398990.397500001 4242540.1918000001),0
2014,18,100000,0,08,부산광역시 북구 화명동 산 204,0,4196775.231,,"석축 및 옹벽유실, 토사유실",14362988.62,296,POINT(14362988.616699999 4196775.2309999997),0
2014,18,0,0,08,울산광역시 울주군 온산읍 처용리 산26-1,0,4227390.928,,집중호우 인한 산사태,14397130.56,297,POINT(14397130.562200001 4227390.9282),0
2014,18,14167,0,08,"울산광역시 중구 다운동 82, 성안동 1254, 복산동 721 (농로주변법면)",0,4242176.678,,집중호우,14393404.94,298,POINT(14393404.9384 4242176.6777999997),0
2014,18,8038,0,08,울산광역시 중구 동동 400 (어련당 뒤 소공원 법면),0,4242096.555,,집중호우,14399182.68,299,POINT(14399182.680400001 4242096.5551000005),0
2020,13,0,0,05,인천광역시 중구 연안부두로 139,0,4501691.833,인천광역시 중구 항동7가 70-26,노후화(추정)로 인한 내부천장붕괴,14092832.91,597,POINT(14092832.910499999 4501691.8329999996),0
2015,08      ,0,0,01,서울특별시 송파구 마천동 311-3,0,4508065.324,,건물 노후화,14154808.19,404,POINT(14154808.192299999 4508065.3234999999),0
2015,10,0,1,01,경상북도 영천시 망정동 232-1,0,4297446.908,,건물 철거 작업 중 내부벽체 무너짐,14354929.45,405,POINT(14354929.447799999 4297446.9075999996),1
2015,05      ,301401,0,02,광주광역시 남구 봉선동 610-22 (대화아파트 옹벽),0,4180736.499,,"토압의 이동 및 집중효과 유발 및 지반의 동결, 융해의 반복, 암반사면의 불연속 경사 및 방향, 설계도면과 상이하게 시공",14127025.97,406,POINT(14127025.968900001 4180736.4988000002),0
2015,17,2000,0,02,서울특별시 은평구 응암동 39-200,0,4522665.289,,축대 붕괴,14129937.96,407,POINT(14129937.959000001 4522665.2887000004),0
2015,10,0,1,03,경상북도 울진군 매화면 오산리 1186-1 (신한가스 인근),0,4424393.411,,공사장 내 구조물(보강토옹벽) 기초콘크리트 타설작업 중 기존제방 우안 석축 및 토사가 중장비 하중에 의해 일부 무너진 사고,14405114.7,408,POINT(14405114.700200001 4424393.4113999996),1
2015,15,2000,0,03,서울특별시 은평구 갈현동 300-104,0,4526926.439,,담장 붕괴,14127943.4,409,POINT(14127943.4015 4526926.4393999996),0
2015,16,0,1,03,강원도 평창군 대관령면 유천리 산 90,1,4531663.707,,채석장 공사중 암벽 붕괴,14319845.08,410,POINT(14319845.078199999 4531663.7070000004),2
2015,19,59950,0,03,강원도 삼척시 미로면 상사전리 산 99-5,0,4495034.342,,지지력 약화,14363927.26,411,POINT(14363927.262599999 4495034.3415000001),0
2015,21,0,0,03,울산광역시 중구 남외동 325-1 인근,0,4241601.676,,인근 신축빌라 건물 터파기 공사 중 건물 균열 및 담벼락 일부 붕괴,14398570.34,412,POINT(14398570.343 4241601.6755999997),0
2015,27,0,0,03,서울특별시 은평구 갈현동 9-21,0,4526698.265,,담장붕괴,14128249.28,413,POINT(14128249.2837 4526698.2647000002),0
2015,19,825290,0,04,부산광역시 부산진구 초읍동 507-2(부산진고등학교 옆 옹벽),0,4188433.831,부산광역시 부산진구 성지로94번길 49,집중호우로 인한 옹벽 붕괴,14366376.29,414,POINT(14366376.2914 4188433.8305000002),0
2015,21,0,0,04,충청북도 영동군 영동읍 동정리 71-1,0,4324630.261,,자연붕괴,14224894.9,415,POINT(14224894.8959 4324630.2605999997),0
